"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"com.github.johnnyjayjay.benchmarks.RandomStringBenchmark.benchmarkRandomStringCreation","avgt",1,15,137.976699,15.667467,"ns/op"
"com.github.johnnyjayjay.benchmarks.clojure.ClojureLookup.benchmarkHashMap","avgt",1,15,349.901720,4.317503,"ns/op"
"com.github.johnnyjayjay.benchmarks.clojure.ClojureLookup.benchmarkHashSet","avgt",1,15,378.328624,37.275198,"ns/op"
"com.github.johnnyjayjay.benchmarks.clojure.ClojureLookup.benchmarkList","avgt",1,15,7.802034,0.056439,"ns/op"
"com.github.johnnyjayjay.benchmarks.clojure.ClojureLookup.benchmarkQueue","avgt",1,15,7.911337,0.010992,"ns/op"
"com.github.johnnyjayjay.benchmarks.clojure.ClojureLookup.benchmarkTreeMap","avgt",1,15,1138.286293,42.091327,"ns/op"
"com.github.johnnyjayjay.benchmarks.clojure.ClojureLookup.benchmarkTreeSet","avgt",1,15,1070.550499,14.230474,"ns/op"
"com.github.johnnyjayjay.benchmarks.clojure.ClojureLookup.benchmarkVector","avgt",1,15,28.509350,0.529470,"ns/op"
"com.github.johnnyjayjay.benchmarks.java.JavaLookup.benchmarkArrayList","avgt",1,15,44.034383,0.523472,"ns/op"
"com.github.johnnyjayjay.benchmarks.java.JavaLookup.benchmarkHashLinkedMap","avgt",1,15,270.968457,31.401090,"ns/op"
"com.github.johnnyjayjay.benchmarks.java.JavaLookup.benchmarkHashMap","avgt",1,15,237.069546,9.955092,"ns/op"
"com.github.johnnyjayjay.benchmarks.java.JavaLookup.benchmarkHashSet","avgt",1,15,235.179576,5.039542,"ns/op"
"com.github.johnnyjayjay.benchmarks.java.JavaLookup.benchmarkLinkedHashSet","avgt",1,15,249.252100,8.062515,"ns/op"
"com.github.johnnyjayjay.benchmarks.java.JavaLookup.benchmarkLinkedList","avgt",1,15,3.592589,0.013052,"ns/op"
"com.github.johnnyjayjay.benchmarks.java.JavaLookup.benchmarkTreeMap","avgt",1,15,929.474474,16.827979,"ns/op"
"com.github.johnnyjayjay.benchmarks.java.JavaLookup.benchmarkTreeSet","avgt",1,15,931.020817,14.029066,"ns/op"
"com.github.johnnyjayjay.benchmarks.kotlin.KotlinLookup.benchmarkHashMap","avgt",1,15,302.294062,18.428781,"ns/op"
"com.github.johnnyjayjay.benchmarks.kotlin.KotlinLookup.benchmarkHashSet","avgt",1,15,268.586288,4.148460,"ns/op"
"com.github.johnnyjayjay.benchmarks.kotlin.KotlinLookup.benchmarkOrderedHashMap","avgt",1,15,295.464034,8.328927,"ns/op"
"com.github.johnnyjayjay.benchmarks.kotlin.KotlinLookup.benchmarkOrderedHashSet","avgt",1,15,319.084256,7.421322,"ns/op"
"com.github.johnnyjayjay.benchmarks.kotlin.KotlinLookup.benchmarkVector","avgt",1,15,70.290027,2.610684,"ns/op"
"com.github.johnnyjayjay.benchmarks.pcoll.PCollectionsLookup.benchmarkBag","avgt",1,15,581.142451,32.365128,"ns/op"
"com.github.johnnyjayjay.benchmarks.pcoll.PCollectionsLookup.benchmarkList","avgt",1,15,3.833337,0.042262,"ns/op"
"com.github.johnnyjayjay.benchmarks.pcoll.PCollectionsLookup.benchmarkMap","avgt",1,15,598.779184,19.126795,"ns/op"
"com.github.johnnyjayjay.benchmarks.pcoll.PCollectionsLookup.benchmarkSet","avgt",1,15,582.385363,26.957931,"ns/op"
"com.github.johnnyjayjay.benchmarks.pcoll.PCollectionsLookup.benchmarkVector","avgt",1,15,369.732996,16.201916,"ns/op"
"com.github.johnnyjayjay.benchmarks.clojure.ClojureAddition.benchmarkHashMap","ss",1,30,631.762160,29.044249,"ms/op"
"com.github.johnnyjayjay.benchmarks.clojure.ClojureAddition.benchmarkHashSet","ss",1,30,692.779927,36.590143,"ms/op"
"com.github.johnnyjayjay.benchmarks.clojure.ClojureAddition.benchmarkList","ss",1,30,322.791813,111.821617,"ms/op"
"com.github.johnnyjayjay.benchmarks.clojure.ClojureAddition.benchmarkQueue","ss",1,30,189.055623,16.830404,"ms/op"
"com.github.johnnyjayjay.benchmarks.clojure.ClojureAddition.benchmarkTreeMap","ss",1,30,1529.092527,76.221216,"ms/op"
"com.github.johnnyjayjay.benchmarks.clojure.ClojureAddition.benchmarkTreeSet","ss",1,30,1804.595810,25.636801,"ms/op"
