"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"com.github.johnnyjayjay.benchmarks.RandomStringBenchmark.benchmarkRandomStringCreation","avgt",1,15,137.170858,0.596840,"ns/op"
"com.github.johnnyjayjay.benchmarks.clojure.ClojureLookup.benchmarkHashMap","avgt",1,15,321.795242,8.013022,"ns/op"
"com.github.johnnyjayjay.benchmarks.clojure.ClojureLookup.benchmarkHashSet","avgt",1,15,334.962536,2.161612,"ns/op"
"com.github.johnnyjayjay.benchmarks.clojure.ClojureLookup.benchmarkList","avgt",1,15,7.835444,0.005693,"ns/op"
"com.github.johnnyjayjay.benchmarks.clojure.ClojureLookup.benchmarkQueue","avgt",1,15,7.856733,0.008499,"ns/op"
"com.github.johnnyjayjay.benchmarks.clojure.ClojureLookup.benchmarkTreeMap","avgt",1,15,1002.773117,1.171181,"ns/op"
"com.github.johnnyjayjay.benchmarks.clojure.ClojureLookup.benchmarkTreeSet","avgt",1,15,1007.974048,5.027465,"ns/op"
"com.github.johnnyjayjay.benchmarks.clojure.ClojureLookup.benchmarkVector","avgt",1,15,28.310626,0.153570,"ns/op"
"com.github.johnnyjayjay.benchmarks.java.JavaLookup.benchmarkArrayList","avgt",1,15,39.138655,0.179218,"ns/op"
"com.github.johnnyjayjay.benchmarks.java.JavaLookup.benchmarkHashLinkedMap","avgt",1,15,225.555589,0.667463,"ns/op"
"com.github.johnnyjayjay.benchmarks.java.JavaLookup.benchmarkHashMap","avgt",1,15,213.760794,0.880069,"ns/op"
"com.github.johnnyjayjay.benchmarks.java.JavaLookup.benchmarkHashSet","avgt",1,15,215.195050,0.748732,"ns/op"
"com.github.johnnyjayjay.benchmarks.java.JavaLookup.benchmarkLinkedHashSet","avgt",1,15,225.328092,1.498773,"ns/op"
"com.github.johnnyjayjay.benchmarks.java.JavaLookup.benchmarkLinkedList","avgt",1,15,3.558116,0.001913,"ns/op"
"com.github.johnnyjayjay.benchmarks.java.JavaLookup.benchmarkTreeMap","avgt",1,15,874.031152,12.657394,"ns/op"
"com.github.johnnyjayjay.benchmarks.java.JavaLookup.benchmarkTreeSet","avgt",1,15,866.424776,3.435373,"ns/op"
"com.github.johnnyjayjay.benchmarks.kotlin.KotlinLookup.benchmarkVector","avgt",1,15,62.804250,0.256432,"ns/op"
"com.github.johnnyjayjay.benchmarks.kotlin.KotlinLookup.benchmarkHashMap","avgt",1,15,269.473615,0.859265,"ns/op"
"com.github.johnnyjayjay.benchmarks.kotlin.KotlinLookup.benchmarkHashSet","avgt",1,15,247.154786,6.589727,"ns/op"
"com.github.johnnyjayjay.benchmarks.kotlin.KotlinLookup.benchmarkOrderedHashMap","avgt",1,15,270.963148,1.325282,"ns/op"
"com.github.johnnyjayjay.benchmarks.kotlin.KotlinLookup.benchmarkOrderedHashSet","avgt",1,15,289.901558,0.805813,"ns/op"
"com.github.johnnyjayjay.benchmarks.pcoll.PCollectionsLookup.benchmarkBag","avgt",1,15,532.883801,5.244503,"ns/op"
"com.github.johnnyjayjay.benchmarks.pcoll.PCollectionsLookup.benchmarkList","avgt",1,15,3.792678,0.002606,"ns/op"
"com.github.johnnyjayjay.benchmarks.pcoll.PCollectionsLookup.benchmarkMap","avgt",1,15,538.432596,13.111539,"ns/op"
"com.github.johnnyjayjay.benchmarks.pcoll.PCollectionsLookup.benchmarkSet","avgt",1,15,521.217562,1.355621,"ns/op"
"com.github.johnnyjayjay.benchmarks.pcoll.PCollectionsLookup.benchmarkVector","avgt",1,15,333.775662,1.480516,"ns/op"
"com.github.johnnyjayjay.benchmarks.clojure.ClojureAddition.benchmarkHashMap","ss",1,30,609.692393,16.726998,"ms/op"
"com.github.johnnyjayjay.benchmarks.clojure.ClojureAddition.benchmarkHashSet","ss",1,30,650.154007,14.759378,"ms/op"
"com.github.johnnyjayjay.benchmarks.clojure.ClojureAddition.benchmarkList","ss",1,30,501.150680,98.499442,"ms/op"
"com.github.johnnyjayjay.benchmarks.clojure.ClojureAddition.benchmarkQueue","ss",1,30,185.168247,17.088046,"ms/op"
"com.github.johnnyjayjay.benchmarks.clojure.ClojureAddition.benchmarkTreeMap","ss",1,30,1422.803620,14.837639,"ms/op"
"com.github.johnnyjayjay.benchmarks.clojure.ClojureAddition.benchmarkTreeSet","ss",1,30,1694.925557,10.704315,"ms/op"
"com.github.johnnyjayjay.benchmarks.clojure.ClojureAddition.benchmarkVector","ss",1,30,183.261210,16.377150,"ms/op"
"com.github.johnnyjayjay.benchmarks.clojure.ClojureRemoval.benchmarkHashMap","ss",1,30,508.265700,2.921772,"ms/op"
"com.github.johnnyjayjay.benchmarks.clojure.ClojureRemoval.benchmarkHashSet","ss",1,30,558.362600,2.134644,"ms/op"
"com.github.johnnyjayjay.benchmarks.clojure.ClojureRemoval.benchmarkList","ss",1,30,4.545707,0.138618,"ms/op"
"com.github.johnnyjayjay.benchmarks.clojure.ClojureRemoval.benchmarkQueue","ss",1,30,15.338920,3.470261,"ms/op"
"com.github.johnnyjayjay.benchmarks.clojure.ClojureRemoval.benchmarkTreeMap","ss",1,30,1424.030603,10.046150,"ms/op"
"com.github.johnnyjayjay.benchmarks.clojure.ClojureRemoval.benchmarkTreeSet","ss",1,30,1661.618133,19.396112,"ms/op"
