"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"com.github.johnnyjayjay.benchmarks.RandomStringBenchmark.benchmarkRandomStringCreation","avgt",1,15,185.623533,1.992410,"ns/op"
"com.github.johnnyjayjay.benchmarks.clojure.ClojureLookup.benchmarkHashMap","avgt",1,15,333.595863,10.596480,"ns/op"
"com.github.johnnyjayjay.benchmarks.clojure.ClojureLookup.benchmarkHashSet","avgt",1,15,358.856974,11.777923,"ns/op"
"com.github.johnnyjayjay.benchmarks.clojure.ClojureLookup.benchmarkList","avgt",1,15,4.315910,0.043393,"ns/op"
"com.github.johnnyjayjay.benchmarks.clojure.ClojureLookup.benchmarkQueue","avgt",1,15,4.390997,0.254335,"ns/op"
"com.github.johnnyjayjay.benchmarks.clojure.ClojureLookup.benchmarkTreeMap","avgt",1,15,993.400985,13.425662,"ns/op"
"com.github.johnnyjayjay.benchmarks.clojure.ClojureLookup.benchmarkTreeSet","avgt",1,15,998.232164,12.094122,"ns/op"
"com.github.johnnyjayjay.benchmarks.clojure.ClojureLookup.benchmarkVector","avgt",1,15,31.544755,1.618185,"ns/op"
"com.github.johnnyjayjay.benchmarks.java.JavaLookup.benchmarkArrayList","avgt",1,15,55.679496,1.590757,"ns/op"
"com.github.johnnyjayjay.benchmarks.java.JavaLookup.benchmarkHashLinkedMap","avgt",1,15,241.602084,6.653241,"ns/op"
"com.github.johnnyjayjay.benchmarks.java.JavaLookup.benchmarkHashMap","avgt",1,15,226.878420,2.456106,"ns/op"
"com.github.johnnyjayjay.benchmarks.java.JavaLookup.benchmarkHashSet","avgt",1,15,230.161167,3.432941,"ns/op"
"com.github.johnnyjayjay.benchmarks.java.JavaLookup.benchmarkLinkedHashSet","avgt",1,15,240.641484,4.072104,"ns/op"
"com.github.johnnyjayjay.benchmarks.java.JavaLookup.benchmarkLinkedList","avgt",1,15,2.126660,0.020302,"ns/op"
"com.github.johnnyjayjay.benchmarks.java.JavaLookup.benchmarkTreeMap","avgt",1,15,850.532612,4.878857,"ns/op"
"com.github.johnnyjayjay.benchmarks.java.JavaLookup.benchmarkTreeSet","avgt",1,15,848.516894,6.404023,"ns/op"
"com.github.johnnyjayjay.benchmarks.kotlin.KotlinLookup.benchmarkVector","avgt",1,15,61.554205,0.477824,"ns/op"
"com.github.johnnyjayjay.benchmarks.kotlin.KotlinLookup.benchmarkHashMap","avgt",1,15,299.637626,8.161323,"ns/op"
"com.github.johnnyjayjay.benchmarks.kotlin.KotlinLookup.benchmarkHashSet","avgt",1,15,287.794776,13.141998,"ns/op"
"com.github.johnnyjayjay.benchmarks.kotlin.KotlinLookup.benchmarkOrderedHashMap","avgt",1,15,304.543550,6.846111,"ns/op"
"com.github.johnnyjayjay.benchmarks.kotlin.KotlinLookup.benchmarkOrderedHashSet","avgt",1,15,328.186776,7.738628,"ns/op"
"com.github.johnnyjayjay.benchmarks.pcoll.PCollectionsLookup.benchmarkBag","avgt",1,15,504.940196,10.103308,"ns/op"
"com.github.johnnyjayjay.benchmarks.pcoll.PCollectionsLookup.benchmarkList","avgt",1,15,2.366812,0.027547,"ns/op"
"com.github.johnnyjayjay.benchmarks.pcoll.PCollectionsLookup.benchmarkMap","avgt",1,15,534.510998,12.429509,"ns/op"
"com.github.johnnyjayjay.benchmarks.pcoll.PCollectionsLookup.benchmarkSet","avgt",1,15,518.143718,17.492570,"ns/op"
"com.github.johnnyjayjay.benchmarks.pcoll.PCollectionsLookup.benchmarkVector","avgt",1,15,301.067245,8.376608,"ns/op"
"com.github.johnnyjayjay.benchmarks.clojure.ClojureAddition.benchmarkHashMap","ss",1,30,578.424421,40.831240,"ms/op"
"com.github.johnnyjayjay.benchmarks.clojure.ClojureAddition.benchmarkHashSet","ss",1,30,617.229554,37.312084,"ms/op"
"com.github.johnnyjayjay.benchmarks.clojure.ClojureAddition.benchmarkList","ss",1,30,261.823175,39.966535,"ms/op"
"com.github.johnnyjayjay.benchmarks.clojure.ClojureAddition.benchmarkQueue","ss",1,30,238.997300,15.167558,"ms/op"
"com.github.johnnyjayjay.benchmarks.clojure.ClojureAddition.benchmarkTreeMap","ss",1,30,1450.765052,40.632704,"ms/op"
"com.github.johnnyjayjay.benchmarks.clojure.ClojureAddition.benchmarkTreeSet","ss",1,30,1717.334766,9.310120,"ms/op"
"com.github.johnnyjayjay.benchmarks.clojure.ClojureAddition.benchmarkVector","ss",1,30,228.095563,9.714084,"ms/op"
"com.github.johnnyjayjay.benchmarks.clojure.ClojureRemoval.benchmarkHashMap","ss",1,30,353.082988,10.729330,"ms/op"
"com.github.johnnyjayjay.benchmarks.clojure.ClojureRemoval.benchmarkHashSet","ss",1,30,405.851033,3.272198,"ms/op"
"com.github.johnnyjayjay.benchmarks.clojure.ClojureRemoval.benchmarkList","ss",1,30,6.114776,0.017045,"ms/op"
"com.github.johnnyjayjay.benchmarks.clojure.ClojureRemoval.benchmarkQueue","ss",1,30,18.315819,3.170190,"ms/op"
"com.github.johnnyjayjay.benchmarks.clojure.ClojureRemoval.benchmarkTreeMap","ss",1,30,1382.388342,13.187289,"ms/op"
"com.github.johnnyjayjay.benchmarks.clojure.ClojureRemoval.benchmarkTreeSet","ss",1,30,1630.321970,11.709555,"ms/op"
"com.github.johnnyjayjay.benchmarks.java.JavaAddition.benchmarkArrayList","ss",1,30,227.684380,22.878550,"ms/op"
"com.github.johnnyjayjay.benchmarks.java.JavaAddition.benchmarkHashMap","ss",1,30,412.537073,21.736135,"ms/op"
"com.github.johnnyjayjay.benchmarks.java.JavaAddition.benchmarkHashSet","ss",1,30,411.153708,22.055291,"ms/op"
"com.github.johnnyjayjay.benchmarks.java.JavaAddition.benchmarkLinkedHashMap","ss",1,30,443.779841,25.989581,"ms/op"
"com.github.johnnyjayjay.benchmarks.java.JavaAddition.benchmarkLinkedHashSet","ss",1,30,436.625942,32.102375,"ms/op"
"com.github.johnnyjayjay.benchmarks.java.JavaAddition.benchmarkLinkedList","ss",1,30,550.364986,91.880278,"ms/op"
"com.github.johnnyjayjay.benchmarks.java.JavaAddition.benchmarkTreeMap","ss",1,30,907.621167,27.316040,"ms/op"
"com.github.johnnyjayjay.benchmarks.java.JavaAddition.benchmarkTreeSet","ss",1,30,909.797793,27.724718,"ms/op"
"com.github.johnnyjayjay.benchmarks.java.JavaRemoval.benchmarkArrayList","ss",1,30,22640.299291,67.760357,"ms/op"
"com.github.johnnyjayjay.benchmarks.java.JavaRemoval.benchmarkHashLinkedMap","ss",1,30,193.674881,1.087656,"ms/op"
"com.github.johnnyjayjay.benchmarks.java.JavaRemoval.benchmarkHashMap","ss",1,30,168.529205,3.372737,"ms/op"
"com.github.johnnyjayjay.benchmarks.java.JavaRemoval.benchmarkHashSet","ss",1,30,168.548982,1.865743,"ms/op"
"com.github.johnnyjayjay.benchmarks.java.JavaRemoval.benchmarkLinkedHashSet","ss",1,30,193.674695,0.668987,"ms/op"
"com.github.johnnyjayjay.benchmarks.java.JavaRemoval.benchmarkLinkedList","ss",1,30,4.119235,0.053547,"ms/op"
"com.github.johnnyjayjay.benchmarks.java.JavaRemoval.benchmarkTreeMap","ss",1,30,817.054537,15.380524,"ms/op"
"com.github.johnnyjayjay.benchmarks.java.JavaRemoval.benchmarkTreeSet","ss",1,30,813.300688,21.710781,"ms/op"
"com.github.johnnyjayjay.benchmarks.kotlin.KotlinAddition.benchmarkHashMap","ss",1,30,486.127105,23.583641,"ms/op"
"com.github.johnnyjayjay.benchmarks.kotlin.KotlinAddition.benchmarkHashSet","ss",1,30,443.390422,29.714905,"ms/op"
"com.github.johnnyjayjay.benchmarks.kotlin.KotlinAddition.benchmarkOrderedHashMap","ss",1,30,674.562281,47.785537,"ms/op"
"com.github.johnnyjayjay.benchmarks.kotlin.KotlinAddition.benchmarkOrderedHashSet","ss",1,30,650.402186,10.869280,"ms/op"
"com.github.johnnyjayjay.benchmarks.kotlin.KotlinAddition.benchmarkVector","ss",1,30,221.552409,17.883738,"ms/op"
"com.github.johnnyjayjay.benchmarks.kotlin.KotlinRemoval.benchmarkHashMap","ss",1,30,331.283078,1.126790,"ms/op"
"com.github.johnnyjayjay.benchmarks.kotlin.KotlinRemoval.benchmarkHashSet","ss",1,30,282.175241,2.182060,"ms/op"
"com.github.johnnyjayjay.benchmarks.kotlin.KotlinRemoval.benchmarkOrderedHashMap","ss",1,30,1114.740332,3.180008,"ms/op"
"com.github.johnnyjayjay.benchmarks.kotlin.KotlinRemoval.benchmarkOrderedHashSet","ss",1,30,1109.601367,4.180037,"ms/op"
"com.github.johnnyjayjay.benchmarks.kotlin.KotlinRemoval.benchmarkVector","ss",1,30,223506.629242,7017.060183,"ms/op"
"com.github.johnnyjayjay.benchmarks.pcoll.PCollectionsAddition.benchmarkBag","ss",1,30,1154.627978,37.107397,"ms/op"
